
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |                                                                                                                                                                      :data |
|---------+------+--------------------+------------+--------------------+------------+---------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|   FSDPX |  100 | 23.670000076293945 | 2001-06-22 | 23.579999923706055 | 2001-06-27 |  -9.000015258789062 | {:rsma200 1.0672137297234743, :rsma30 0.9494965722544949, :sma200 22.179249963760377, :date #time/date "2001-06-22", :close 23.670000076293945, :sma30 24.929000027974446} |
|   FSCHX |  100 |  40.47999954223633 | 2001-06-25 |   40.9900016784668 | 2001-06-28 |  51.000213623046875 |    {:rsma200 1.0694833840750853, :rsma30 0.9434284649976987, :sma200 37.85004998207092, :date #time/date "2001-06-25", :close 40.47999954223633, :sma30 42.90733324686686} |
|   FSAVX |  100 |   22.6299991607666 | 2001-08-20 | 22.329999923706055 | 2001-08-21 | -29.999923706054688 |     {:rsma200 1.056459628866977, :rsma30 0.9495237270550755, :sma200 21.420600032806398, :date #time/date "2001-08-20", :close 22.6299991607666, :sma30 23.83300018310547} |
|   FSHOX |  100 | 28.100000381469727 | 2002-06-04 |  28.81999969482422 | 2002-06-05 |   71.99993133544922 |  {:rsma200 1.080015312641418, :rsma30 0.9386691697120166, :sma200 26.018149976730346, :date #time/date "2002-06-04", :close 28.100000381469727, :sma30 29.936000124613443} |
|   FSAVX |  100 |  27.06999969482422 | 2002-06-04 | 27.639999389648438 | 2002-06-07 |  56.999969482421875 |  {:rsma200 1.1031374299394767, :rsma30 0.9321946262516224, :sma200 24.539099988937377, :date #time/date "2002-06-04", :close 27.06999969482422, :sma30 29.038999938964842} |
|   FSAGX |  100 | 21.649999618530273 | 2002-06-13 | 21.979999542236328 | 2002-06-14 |   32.99999237060547 |  {:rsma200 1.2644624486603977, :rsma30 0.9424516613009041, :sma200 17.12190001487732, :date #time/date "2002-06-13", :close 21.649999618530273, :sma30 22.972000058492025} |
|   FSESX |  100 |  34.04999923706055 | 2002-06-03 |  34.16999816894531 | 2002-06-17 |  11.999893188476562 |    {:rsma200 1.1728841299527704, :rsma30 0.9439367035133565, :sma200 29.031000051498413, :date #time/date "2002-06-03", :close 34.04999923706055, :sma30 36.0723331451416} |
|   FSAVX |  100 |  27.31999969482422 | 2002-06-11 | 27.110000610351562 | 2002-06-17 | -20.999908447265625 |   {:rsma200 1.1090610410819246, :rsma30 0.9483037790919354, :sma200 24.633449993133546, :date #time/date "2002-06-11", :close 27.31999969482422, :sma30 28.80933335622152} |
|   FSAGX |  100 | 21.389999389648438 | 2002-06-17 |   21.8799991607666 | 2002-06-19 |  48.999977111816406 |  {:rsma200 1.243684153024219, :rsma30 0.9298382613300612, :sma200 17.198900008201598, :date #time/date "2002-06-17", :close 21.389999389648438, :sma30 23.004000027974445} |
|   FSAVX |  100 | 26.520000457763672 | 2002-06-20 | 26.719999313354492 | 2002-06-28 |   19.99988555908203 |   {:rsma200 1.070077591107086, :rsma30 0.9380084574579131, :sma200 24.78324999809265, :date #time/date "2002-06-20", :close 26.520000457763672, :sma30 28.272666676839194} |
|   FSAGX |  100 | 21.979999542236328 | 2002-06-27 | 22.010000228881836 | 2002-07-01 |  3.0000686645507812 |   {:rsma200 1.2528963708603351, :rsma30 0.9490910483222907, :sma200 17.5433499956131, :date #time/date "2002-06-27", :close 21.979999542236328, :sma30 23.158999951680503} |
|   FSESX |  100 | 31.850000381469727 | 2002-06-27 | 30.940000534057617 | 2002-07-01 |  -90.99998474121094 |   {:rsma200 1.075492129531349, :rsma30 0.9357830678447744, :sma200 29.614350032806396, :date #time/date "2002-06-27", :close 31.850000381469727, :sma30 34.03566646575928} |
|   FSESX |  100 | 31.530000686645508 | 2002-07-05 |   30.3700008392334 | 2002-07-08 | -115.99998474121094 |  {:rsma200 1.0593209877518082, :rsma30 0.9483847931711908, :sma200 29.76435004234314, :date #time/date "2002-07-05", :close 31.530000686645508, :sma30 33.245999844868976} |
|   FSAGX |  100 | 21.440000534057617 | 2002-07-02 | 22.420000076293945 | 2002-07-09 |   97.99995422363281 | {:rsma200 1.2140568142355508, :rsma30 0.9287550396676407, :sma200 17.659800004959106, :date #time/date "2002-07-02", :close 21.440000534057617, :sma30 23.084666697184243} |
|   FSAGX |  100 | 20.760000228881836 | 2002-07-17 | 20.969999313354492 | 2002-07-18 |  20.999908447265625 | {:rsma200 1.1512068107578404, :rsma30 0.9373024801144065, :sma200 18.033250007629395, :date #time/date "2002-07-17", :close 20.760000228881836, :sma30 22.148666699727375} |
|   FSAGX |  100 | 20.209999084472656 | 2002-07-22 |  18.43000030517578 | 2002-07-23 |  -177.9998779296875 |  {:rsma200 1.1145025456553728, :rsma30 0.9250415361156128, :sma200 18.13364999771118, :date #time/date "2002-07-22", :close 20.209999084472656, :sma30 21.847666613260905} |
|   FSTCX |  100 | 25.219999313354492 | 2003-01-27 |              25.75 | 2003-01-29 |   53.00006866455078 |   {:rsma200 1.073556927725049, :rsma30 0.9353789634722774, :sma200 23.49199996948242, :date #time/date "2003-01-27", :close 25.219999313354492, :sma30 26.962333234151206} |
|   FSTCX |  100 | 25.079999923706055 | 2003-01-30 | 24.459999084472656 | 2003-02-11 | -62.000083923339844 | {:rsma200 1.0695529224920508, :rsma30 0.9316031896100727, :sma200 23.449049968719482, :date #time/date "2003-01-30", :close 25.079999923706055, :sma30 26.921333249409994} |
|   FSAGX |  100 | 22.790000915527344 | 2003-02-10 | 23.489999771118164 | 2003-02-11 |   69.99988555908203 | {:rsma200 1.0589829247524596, :rsma30 0.9491219922312196, :sma200 21.520650033950805, :date #time/date "2003-02-10", :close 22.790000915527344, :sma30 24.011666679382323} |
|   FSTCX |  100 | 24.700000762939453 | 2003-02-14 | 25.170000076293945 | 2003-02-18 |   46.99993133544922 | {:rsma200 1.0601404712808238, :rsma30 0.9369547402707312, :sma200 23.298799953460694, :date #time/date "2003-02-14", :close 24.700000762939453, :sma30 26.361999893188475} |
|   FSESX |  100 | 30.770000457763672 | 2003-07-01 | 31.190000534057617 | 2003-07-03 |   42.00000762939453 |  {:rsma200 1.0529792102033626, :rsma30 0.9428720415961483, :sma200 29.221849927902223, :date #time/date "2003-07-01", :close 30.770000457763672, :sma30 32.63433329264323} |
|   FSNGX |  100 | 18.290000915527344 | 2003-07-14 |  18.09000015258789 | 2003-07-15 | -20.000076293945312 |  {:rsma200 1.0618750261152383, :rsma30 0.9478648850288187, :sma200 17.224249997138976, :date #time/date "2003-07-14", :close 18.290000915527344, :sma30 19.29600009918213} |
|   FSNGX |  100 | 18.170000076293945 | 2003-07-17 | 18.739999771118164 | 2003-07-18 |  56.999969482421875 |  {:rsma200 1.0532051217483236, :rsma30 0.9498335904881131, :sma200 17.252099995613097, :date #time/date "2003-07-17", :close 18.170000076293945, :sma30 19.12966677347819} |
