
|  :dir | :prct | :len |               :low |              :high |             :close |  :dt-first |   :dt-last |
| :down |   7.5 |    3 | 51.939998626708984 | 55.810001373291016 | 51.939998626708984 | 2001-04-03 | 2001-04-05 |
|   :up |  41.9 |   51 | 51.939998626708984 |  73.68000030517578 |  73.68000030517578 | 2001-04-05 | 2001-06-18 |
| :down |  10.2 |    9 |  66.87999725341797 |  73.68000030517578 |  66.87999725341797 | 2001-06-18 | 2001-06-20 |
|   :up |   4.4 |    4 |  66.87999725341797 |  69.83999633789062 |  69.83999633789062 | 2001-06-20 | 2001-06-22 |
| :down |   1.5 |    3 |  68.83000183105469 |  69.83999633789062 |  68.83000183105469 | 2001-06-22 | 2001-06-26 |
|   :up |   6.1 |    6 |  68.83000183105469 |               73.0 |               73.0 | 2001-06-26 | 2001-07-02 |
| :down |  13.2 |    8 |   64.4800033569336 |               73.0 |   64.4800033569336 | 2001-07-02 | 2001-07-12 |
|   :up |  12.5 |    8 |   64.4800033569336 |  72.56999969482422 |  72.56999969482422 | 2001-07-12 | 2001-07-20 |
| :down |  46.0 |   51 | 49.709999084472656 |  72.56999969482422 | 49.709999084472656 | 2001-07-20 | 2001-10-05 |
|   :up |  16.8 |   12 | 49.709999084472656 | 58.040000915527344 | 58.040000915527344 | 2001-10-05 | 2001-10-09 |
| :down |   6.4 |    3 | 54.560001373291016 | 58.040000915527344 | 54.560001373291016 | 2001-10-09 | 2001-10-11 |
|   :up |   7.1 |    6 | 54.560001373291016 |  58.45000076293945 |  58.45000076293945 | 2001-10-11 | 2001-10-17 |
| :down |   4.3 |    3 | 56.029998779296875 |  58.45000076293945 | 56.029998779296875 | 2001-10-17 | 2001-10-19 |
|   :up |  11.7 |    8 | 56.029998779296875 | 62.560001373291016 | 62.560001373291016 | 2001-10-19 | 2001-10-29 |
| :down |   7.6 |    5 | 58.150001525878906 | 62.560001373291016 | 58.150001525878906 | 2001-10-29 | 2001-11-01 |
|   :up |  16.8 |   15 | 58.150001525878906 |   67.9000015258789 |   67.9000015258789 | 2001-11-01 | 2001-11-21 |
| :down |   8.1 |   11 |  62.79999923706055 |   67.9000015258789 |  62.79999923706055 | 2001-11-21 | 2001-11-29 |
|   :up |   3.2 |    2 |  62.79999923706055 |  64.83999633789062 |  64.83999633789062 | 2001-11-29 | 2001-11-30 |
| :down |   1.0 |    2 |  64.20999908447266 |  64.83999633789062 |  64.20999908447266 | 2001-11-30 | 2001-12-03 |
|   :up |   6.9 |    6 |  64.20999908447266 |   68.6500015258789 |   68.6500015258789 | 2001-12-03 | 2001-12-10 |
| :down |   2.4 |    4 |  67.05999755859375 |   68.6500015258789 |  67.05999755859375 | 2001-12-10 | 2001-12-12 |
|   :up |   1.3 |    3 |  67.05999755859375 |  67.94999694824219 |  67.94999694824219 | 2001-12-12 | 2001-12-13 |
| :down |   2.5 |    2 |   66.2699966430664 |  67.94999694824219 |   66.2699966430664 | 2001-12-13 | 2001-12-14 |
|   :up |   4.9 |    5 |   66.2699966430664 |  69.48999786376953 |  69.48999786376953 | 2001-12-14 | 2001-12-20 |
| :down |   4.1 |    4 |  66.76000213623047 |  69.48999786376953 |  66.76000213623047 | 2001-12-20 | 2001-12-26 |
|   :up |   1.7 |    6 |  66.76000213623047 |  67.87000274658203 |  67.87000274658203 | 2001-12-26 | 2001-12-31 |
| :down |   2.4 |    2 |              66.25 |  67.87000274658203 |              66.25 | 2001-12-31 | 2002-01-02 |
|   :up |   5.0 |   11 |              66.25 |  69.55000305175781 |  69.55000305175781 | 2002-01-02 | 2002-01-16 |
| :down |   2.5 |    2 |  67.87000274658203 |  69.55000305175781 |  67.87000274658203 | 2002-01-16 | 2002-01-17 |
|   :up |   2.9 |    2 |  67.87000274658203 |  69.86000061035156 |  69.86000061035156 | 2002-01-17 | 2002-01-18 |
| :down |  20.5 |   30 |   57.9900016784668 |  69.86000061035156 |   57.9900016784668 | 2002-01-18 | 2002-03-04 |
|   :up |  11.0 |   13 |   57.9900016784668 |  64.33999633789062 |  64.33999633789062 | 2002-03-04 | 2002-03-13 |
| :down |   5.1 |    4 | 61.220001220703125 |  64.33999633789062 | 61.220001220703125 | 2002-03-13 | 2002-03-15 |
|   :up |   2.1 |    4 | 61.220001220703125 |   62.4900016784668 |   62.4900016784668 | 2002-03-15 | 2002-03-20 |
| :down |   4.0 |    4 | 60.099998474121094 |   62.4900016784668 | 60.099998474121094 | 2002-03-20 | 2002-03-21 |
|   :up |   2.1 |    2 | 60.099998474121094 |  61.36000061035156 |  61.36000061035156 | 2002-03-21 | 2002-03-22 |
| :down |   3.9 |    5 |  59.08000183105469 |  61.36000061035156 |  59.08000183105469 | 2002-03-22 | 2002-03-28 |
|   :up |   2.2 |    4 |  59.08000183105469 | 60.380001068115234 | 60.380001068115234 | 2002-03-28 | 2002-04-02 |
