date,open,high,low,close,volume
2019-11-15T00:00:00.000Z,68.05,68.32,68.045,68.32,2.3494588E7
2019-11-18T00:00:00.000Z,68.24,68.46,68.13,68.4,2.0587472E7
2019-11-19T00:00:00.000Z,68.6,68.625,68.22,68.31,1.86648E7
2019-11-20T00:00:00.000Z,67.94,68.1,67.675,67.88,2.0655196E7
2019-11-21T00:00:00.000Z,67.87,67.9,67.62,67.79,1.4293408E7
2019-11-22T00:00:00.000Z,68.06,68.11,67.82,67.98,1.4969272E7
2019-11-25T00:00:00.000Z,68.28,68.52,68.28,68.52,1.932905E7
2019-11-26T00:00:00.000Z,68.41,68.54,68.36,68.48,2.4275968E7
2019-11-27T00:00:00.000Z,68.57,68.69,68.535,68.66,1.6941646E7
2019-11-29T00:00:00.000Z,68.22,68.34,68.14,68.18,1.1587154E7
2019-12-02T00:00:00.000Z,68.1,68.14,67.53,67.83,3.8855444E7
2019-12-03T00:00:00.000Z,67.23,67.62,67.02,67.58,2.8464656E7
2019-12-04T00:00:00.000Z,68.0,68.21,67.94,68.2,2.176224E7
2019-12-05T00:00:00.000Z,68.24,68.24,67.96,68.07,2.1039738E7
2019-12-06T00:00:00.000Z,68.62,68.71,68.545,68.69,2.3179576E7
2019-12-09T00:00:00.000Z,68.57,68.68,68.33,68.33,2.1946154E7
2019-12-10T00:00:00.000Z,68.26,68.5,68.14,68.36,2.3419016E7
2019-12-11T00:00:00.000Z,68.39,68.79,68.37,68.72,1.6108857E7
2019-12-12T00:00:00.000Z,68.64,69.25,68.6,69.18,3.0690836E7
2019-12-13T00:00:00.000Z,69.56,69.98,69.4,69.66,4.6988368E7
2019-12-16T00:00:00.000Z,69.6,69.71,69.51,69.62,3.4004624E7
2019-12-17T00:00:00.000Z,69.3,69.4,69.22,69.22,2.8111108E7
2019-12-18T00:00:00.000Z,69.1499,69.205,69.01,69.13,1.8590908E7
2019-12-19T00:00:00.000Z,68.9875,69.15,68.93,69.13,2.5939214E7
2019-12-20T00:00:00.000Z,69.29,69.32,69.16,69.18,3.6135872E7
2019-12-23T00:00:00.000Z,69.24,69.33,69.18,69.29,2.1313752E7
2019-12-24T00:00:00.000Z,69.28,69.28,69.16,69.22,5946978.0
2019-12-26T00:00:00.000Z,69.35,69.54,69.27,69.52,8372029.0
2019-12-27T00:00:00.000Z,69.84,69.85,69.59,69.64,1.628162E7
2019-12-30T00:00:00.000Z,69.76,69.77,69.1,69.12,2.4068976E7
2019-12-31T00:00:00.000Z,69.19,69.48,68.97,69.44,2.0142096E7
2020-01-02T00:00:00.000Z,69.96,70.16,69.84,70.14,2.474934E7
2020-01-03T00:00:00.000Z,69.19,69.7,69.19,69.27,2.9921484E7
2020-01-06T00:00:00.000Z,69.16,69.57,69.15,69.54,2.2636428E7
2020-01-07T00:00:00.000Z,69.52,69.54,69.3,69.35,1.5113973E7
2020-01-08T00:00:00.000Z,69.27,69.74,69.26,69.55,1.4249539E7
2020-01-09T00:00:00.000Z,69.68,69.75,69.54,69.71,1.3749105E7
2020-01-10T00:00:00.000Z,69.66,69.78,69.37,69.45,3.3832296E7
2020-01-13T00:00:00.000Z,69.51,69.85,69.37,69.81,1.6443013E7
2020-01-14T00:00:00.000Z,69.68,70.0,69.67,69.88,2.8826588E7
2020-01-15T00:00:00.000Z,69.82,69.99,69.785,69.88,1.2217902E7
2020-01-16T00:00:00.000Z,69.99,70.2,69.91,70.17,1.2883355E7
2020-01-17T00:00:00.000Z,70.36,70.42,70.21,70.38,1.8473662E7
2020-01-21T00:00:00.000Z,70.06,70.135,69.81,69.82,2.0026336E7
2020-01-22T00:00:00.000Z,70.14,70.16,69.91,69.96,1.4047046E7
2020-01-23T00:00:00.000Z,69.7,69.865,69.36,69.79,1.872016E7
2020-01-24T00:00:00.000Z,70.08,70.08,69.37,69.49,2.41075E7
2020-01-27T00:00:00.000Z,68.15,68.42,68.045,68.05,3.1973676E7
2020-01-28T00:00:00.000Z,68.36,68.74,68.26,68.69,1.8001716E7
2020-01-29T00:00:00.000Z,68.82,68.93,68.602,68.7,1.4916566E7
