
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|   FSAGX |  100 | 11.380000114440918 | 2000-12-16 | 11.460000038146973 | 2001-02-12 |   7.999992370605469 |
|   FMCDX |  100 | 20.790000915527344 | 2001-02-13 | 20.479999542236328 | 2001-02-20 | -31.000137329101562 |
|   FSESX |  100 |  39.38999938964844 | 2001-02-21 | 38.599998474121094 | 2001-02-22 |  -79.00009155273438 |
|   FSHOX |  100 | 21.709999084472656 | 2001-02-23 | 21.639999389648438 | 2001-03-21 |  -6.999969482421875 |
|   FSPCX |  100 |  36.54999923706055 | 2000-06-30 | 43.709999084472656 | 2001-03-22 |   715.9999847412109 |
|   FSELX |  100 |  50.13999938964844 | 2001-03-26 |              46.75 | 2001-03-28 | -338.99993896484375 |
|   FMCDX |  100 |  19.43000030517578 | 2001-03-29 | 19.229999542236328 | 2001-04-03 | -20.000076293945312 |
|   FSRFX |  100 |   28.6299991607666 | 2001-03-27 | 27.829999923706055 | 2001-04-03 |  -79.99992370605469 |
|   FDFAX |  100 | 41.220001220703125 | 2000-10-07 |  42.33000183105469 | 2001-04-06 |  111.00006103515625 |
|   FNARX |  100 | 13.920000076293945 | 2001-04-09 | 13.800000190734863 | 2001-04-12 | -11.999988555908203 |
|   FSESX |  100 |  36.61000061035156 | 2001-04-09 |  36.43000030517578 | 2001-04-19 | -18.000030517578125 |
|   FWRLX |  100 |  7.139999866485596 | 2001-04-20 |  6.739999771118164 | 2001-05-15 | -40.000009536743164 |
|   FSDPX |  100 | 23.280000686645508 | 2001-04-13 | 24.989999771118164 | 2001-05-24 |  170.99990844726562 |
|   FSAGX |  100 | 11.779999732971191 | 2001-04-06 | 13.770000457763672 | 2001-05-30 |  199.00007247924805 |
|   FSRBX |  100 |  34.38999938964844 | 2001-05-31 | 34.060001373291016 | 2001-06-08 |  -32.99980163574219 |
|   FDCPX |  100 |              45.25 | 2001-06-09 |   43.9900016784668 | 2001-06-11 | -125.99983215332031 |
|   FBMPX |  100 | 44.880001068115234 | 2001-05-25 |  42.93000030517578 | 2001-06-14 |  -195.0000762939453 |
|   FSAGX |  100 |  14.15999984741211 | 2001-06-15 | 14.069999694824219 | 2001-06-18 |  -9.000015258789062 |
|   FSCSX |  100 | 51.220001220703125 | 2001-06-12 |  47.13999938964844 | 2001-07-10 | -408.00018310546875 |
|   FSPCX |  100 |  49.06999969482422 | 2001-05-16 |  48.58000183105469 | 2001-07-19 | -48.999786376953125 |
|   FSAIX |  100 | 34.959999084472656 | 2001-07-20 | 34.369998931884766 | 2001-07-24 |  -59.00001525878906 |
|   FSRFX |  100 |  30.40999984741211 | 2001-07-11 | 30.229999542236328 | 2001-07-24 | -18.000030517578125 |
|   FWRLX |  100 |  6.159999847412109 | 2001-07-30 |  6.139999866485596 | 2001-08-06 | -1.9999980926513672 |
|   FDCPX |  100 |  41.04999923706055 | 2001-07-30 |  40.72999954223633 | 2001-08-08 | -31.999969482421875 |
|   FSAVX |  100 |   22.6200008392334 | 2001-06-19 | 23.049999237060547 | 2001-08-17 |  42.999839782714844 |
|   FSRBX |  100 | 35.040000915527344 | 2001-08-07 |   34.4900016784668 | 2001-08-24 |  -54.99992370605469 |
|   FSMEX |  100 | 15.600000381469727 | 2001-08-25 | 15.369999885559082 | 2001-08-29 | -23.000049591064453 |
|   FSAGX |  100 | 13.739999771118164 | 2001-08-13 | 13.649999618530273 | 2001-09-04 |  -9.000015258789062 |
|   FBIOX |  100 |  63.63999938964844 | 2001-08-30 |  62.52000045776367 | 2001-09-05 | -111.99989318847656 |
|   FDFAX |  100 |  45.27000045776367 | 2001-08-20 | 45.189998626708984 | 2001-09-17 |   -8.00018310546875 |
|   FSAGX |  100 | 14.300000190734863 | 2001-09-17 | 14.180000305175781 | 2001-09-21 | -11.999988555908203 |
